id,downloads_bucket,files,tools,writes,guards,retries,candidates,patterns
48e6ba2bb107,1-1k,28,12,3,0,0,5,
4945957644ea,1-1k,31,7,23,2,3,0,
4961afcfd3ab,1k-10k,0,0,0,0,0,0,
49bf1b3b6f2d,1-1k,128,5,22,5,1,1,
4a67eec38e49,1k-10k,1,9,0,1,0,3,
4b1827434c76,1-1k,11,26,2,0,0,6,
4b26d8b4e24f,1-1k,3,0,0,0,0,0,
4bc80de3c5f7,1k-10k,24,41,15,41,0,11,
4bd90a3a2fb6,1-1k,30,48,0,82,0,8,
4c468d4fc118,1k-10k,202,56,72,41,1,26,B_method_blind_retry
4c5d44a94e43,1-1k,43,12,3,0,0,0,
4cbb160e1c5a,1-1k,389,171,142,43,0,66,
4cc4fce0e25c,1-1k,5,27,17,0,0,8,
4ce29a2e6ee9,1-1k,99,20,21,4,3,4,
4d6073f15ec3,1-1k,61,35,30,0,2,25,
4db7c4b3fc47,1-1k,1,2,0,0,0,0,
4e06630e9d11,1-1k,5,8,6,3,0,3,
4e1cb0fd77b7,1-1k,74,30,10,0,0,5,
4f98eb58cc99,1-1k,22,2,11,1,1,2,
50b69bf2000e,1k-10k,26,3,6,1,1,2,
510333b5012f,1-1k,1,7,1,0,0,2,
513f66419cc7,1-1k,12,37,3,0,0,9,
51c500cbfe9c,1-1k,27,27,5,0,0,2,
51dd34b99841,1-1k,5,5,3,7,0,3,
51e711ad29da,1-1k,135,19,155,0,0,8,
5213b4611025,10k-100k,211,18,64,49,0,3,B_method_blind_retry
5226fdddda18,1-1k,39,10,1,5,0,2,
52729f7b81ad,1k-10k,13,9,10,0,5,1,A_fresh_randomness|B_method_blind_retry
527f333ee9c9,1k-10k,54,0,12,0,0,0,
5361cbe91908,1-1k,5,13,9,2,0,2,
53fa4a9d2560,1-1k,56,30,25,3,0,7,
54193688747e,1k-10k,188,40,91,65,5,17,B_method_blind_retry
54e86eaac804,1-1k,31,12,3,7,0,2,
55461674ba07,1-1k,15,1,2,0,0,1,
5569d33126b7,1-1k,3,6,0,0,0,0,
55b1655d7a70,1-1k,2,4,3,3,0,3,
55e57caff6d8,1-1k,123,3,126,10,0,0,
56c5c5d5b106,1-1k,1017,70,951,202,5,17,
56ecc5abe531,1-1k,23,13,1,0,0,0,
56fd3f798155,1-1k,64,182,128,3,0,60,
5726dd103fdd,1-1k,27,32,9,2,1,8,
5740f593f07a,1-1k,6,2,4,10,0,0,
5745bf3e009c,1k-10k,12,12,0,0,0,4,
57adbbdf41b5,1k-10k,219,0,39,33,26,0,B_method_blind_retry
57c4bec0ab43,1-1k,1,10,1,0,0,4,
58babbe12f05,1-1k,14,2,2,0,0,1,
58d5ed387a0c,1k-10k,242,335,84,316,2,78,
595290f2f991,1k-10k,2,6,1,0,3,0,B_method_blind_retry
5955ae70ce5d,100k+,62,39,4,0,0,10,
59be3d5da3ea,1-1k,15,3,0,5,0,0,
59be3d5da3ea,1-1k,15,3,0,5,0,0,
59da713b7f2a,1-1k,30,8,7,1,0,2,
5a0a67fef9c4,1-1k,55,30,1,20,0,9,
5a1ac6b5c578,1k-10k,32,82,42,73,6,12,
5a9bb45f11da,1k-10k,505,67,105,566,7,14,
5acdc5631bef,1-1k,10,9,1,0,0,3,
5affea9b46cd,1-1k,11,4,6,0,3,3,
5b8b917cc623,10k-100k,164,3,105,151,5,1,B_method_blind_retry
5c1eb1f89b28,1-1k,23,17,2,0,0,7,
5d12aee1f783,1-1k,4,14,0,0,0,2,
5d81e5dba6d4,1k-10k,107,37,24,1,0,13,B_method_blind_retry|C_control_unreachable
5d920f36185d,1k-10k,63,75,15,15,28,2,
5e01117122ba,1k-10k,16,4,4,0,3,0,B_method_blind_retry
5e28f084a428,1-1k,27,39,6,19,0,3,
5ef4c1d7ff76,1-1k,35,13,2,4,0,3,
